01/11/2016 1:58:02 Error: 9 [El subíndice está fuera del intervalo]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000009	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 32
04/11/2016 0:28:44 Error: 13 [No coinciden los tipos]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
04/11/2016 0:28:48 Error: 13 [No coinciden los tipos]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
04/11/2016 0:29:56 Error: 13 [No coinciden los tipos]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
04/11/2016 0:30:19 Error: 13 [No coinciden los tipos]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 2
04/11/2016 0:32:17 Error: 13 [No coinciden los tipos]  Source: ServidorArgentum	 HelpFile: C:\Windows\Help\VBENLR98.CHM	 HelpContext: 1000013	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
04/11/2016 0:32:20 Error: 13 [No coinciden los tipos]  Source: ServidorArgentum	 HelpFile: C:\Windows\Help\VBENLR98.CHM	 HelpContext: 1000013	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
04/11/2016 1:19:57 Error: 9 [El subíndice está fuera del intervalo]  Source: ServidorArgentum	 HelpFile: C:\Windows\Help\VBENLR98.CHM	 HelpContext: 1000009	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 85
04/11/2016 2:38:06 Error: 13 [No coinciden los tipos]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
04/11/2016 2:38:10 Error: 13 [No coinciden los tipos]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
04/11/2016 2:38:43 Error: 13 [No coinciden los tipos]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
04/11/2016 2:38:45 Error: 13 [No coinciden los tipos]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
04/11/2016 2:47:52 Error: 13 [No coinciden los tipos]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
04/11/2016 2:54:29 Error: 13 [No coinciden los tipos]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000013	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 0
05/11/2016 5:00:34 Error: 9 [El subíndice está fuera del intervalo]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000009	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 24
05/11/2016 5:00:40 Error: 9 [El subíndice está fuera del intervalo]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000009	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 24
05/11/2016 5:00:47 Error: 9 [El subíndice está fuera del intervalo]  Source: ServidorArgentum	 HelpFile: 	 HelpContext: 1000009	 LastDllError: 0	 - UserIndex: 1 - producido al manejar el paquete: 24
